Name,Location,Acceptance Rate
New Mexico State University,"Las Cruces, NM",74%
Pace University,"New York, NY",74%
Prairie View A&M University,"Prairie View, TX",74%
Russell Sage College,"Troy, NY",74%
Southern Illinois University--Carbondale,"Carbondale, IL",74%
Southern Illinois University Edwardsville,"Edwardsville, IL",74%
Texas Woman's University,"Denton, TX",74%
Trevecca Nazarene University,"Nashville, TN",74%
Universidad Ana G. Mendez--Gurabo Campus,"Gurabo, PR",74%
University of Central Arkansas,"Conway, AR",74%
University of Massachusetts--Boston,"Boston, MA",74%
University of Michigan--Flint,"Flint, MI",74%
University of Missouri--St. Louis,"St. Louis, MO",74%
University of Nebraska Omaha,"Omaha, NE",74%
University of New England,"Biddeford, ME",74%
University of Tennessee at Chattanooga,"Chattanooga, TN",74%
The University of Texas--Arlington,"Arlington, TX",74%
University of Wisconsin--Milwaukee,"Milwaukee, WI",74%
Utah State University,"Logan, UT",74%
Walsh University,"North Canton, OH",74%
Wilkes University,"Wilkes-Barre, PA",74%
Concordia University Irvine,"Irvine, CA",73%
East Tennessee State University,"Johnson City, TN",73%
Lincoln Memorial University,"Harrogate, TN",73%
Morgan State University,"Baltimore, MD",73%
Mount St. Joseph University,"Cincinnati, OH",73%
Point Park University,"Pittsburgh, PA",73%
University of Houston--Clear Lake,"Houston, TX",73%
University of Louisiana at Monroe,"Monroe, LA",73%
University of South Alabama,"Mobile, AL",73%
University of the Incarnate Word,"San Antonio, TX",73%
University of West Georgia,"Carrollton, GA",73%
Augusta University,"Augusta, GA",72%
Dominican University New York,"Orangeburg, NY",72%
Grand Canyon University,"Phoenix, AZ",72%
Indiana University--Indianapolis,"Indianapolis, IN",72%
Lesley University,"Cambridge, MA",72%
Palm Beach Atlantic University,"West Palm Beach, FL",72%
University of Alaska--Fairbanks,"Fairbanks, AK",72%
University of Colorado Denver,"Denver, CO",72%
University of New Mexico,"Albuquerque, NM",72%
University of Northern Colorado,"Greeley, CO",72%
Alvernia University,"Reading, PA",71%
Cleveland State University,"Cleveland, OH",71%
Indiana University of Pennsylvania,"Indiana, PA",71%
La Salle University,"Philadelphia, PA",71%
Radford University,"Radford, VA",71%
Regent University,"Virginia Beach, VA",71%
Tarleton State University,"Stephenville, TX",71%
The University of Akron,"Akron, OH",71%
University of Arkansas--Little Rock,"Little Rock, AR",71%
University of Charleston,"Charleston, WV",71%
University of Southern Mississippi,"Hattiesburg, MS",71%
William Woods University,"Fulton, MO",71%
Carson-Newman University,"Jefferson City, TN",70%
Northern Illinois University,"DeKalb, IL",70%
University of Hawaii at Hilo,"Hilo, HI",70%
University of Wisconsin--Oshkosh,"Oshkosh, WI",70%
Eastern Michigan University,"Ypsilanti, MI",69%
Southeastern University,"Lakeland, FL",69%
University of the Cumberlands,"Williamsburg, KY",69%
Wichita State University,"Wichita, KS",69%
Belhaven University,"Jackson, MS",68%
Clark Atlanta University,"Atlanta, GA",68%
Clarke University,"Dubuque, IA",68%
Dallas Baptist University,"Dallas, TX",68%
University of Colorado--Colorado Springs,"Colorado Springs, CO",68%
University of Indianapolis,"Indianapolis, IN",68%
University of Maryland Eastern Shore,"Princess Anne, MD",68%
University of Massachusetts--Dartmouth,"North Dartmouth, MA",68%
American International College,"Springfield, MA",67%
Idaho State University,"Pocatello, ID",67%
Keiser University,"Ft. Lauderdale, FL",67%
Texas A&M University--Kingsville,"Kingsville, TX",67%
Gardner-Webb University,"Boiling Springs, NC",66%
Indiana State University,"Terre Haute, IN",66%
Wingate University,"Wingate, NC",66%
Trinity International University,"Deerfield, IL",65%
University of Mary Hardin-Baylor,"Belton, TX",65%
University of New Orleans,"New Orleans, LA",65%
The University of Texas--Tyler,"Tyler, TX",65%
Briar Cliff University,"Sioux City, IA",64%
Hardin-Simmons University,"Abilene, TX",64%
University of Bridgeport,"Bridgeport, CT",64%
University of Pikeville,"Pikeville, KY",64%
Valdosta State University,"Valdosta, GA",64%
Wright State University,"Dayton, OH",64%
Mary Baldwin University,"Staunton, VA",63%
Alabama State University,"Montgomery, AL",62%
Southern University and A&M College,"Baton Rouge, LA",62%
Texas A&M University--Commerce,"Commerce, TX",62%
Lamar University,"Beaumont, TX",61%
National Louis University,"Chicago, IL",61%
Roosevelt University,"Chicago, IL",60%
Tennessee State University,"Nashville, TN",60%
Texas Wesleyan University,"Fort Worth, TX",60%
Barry University,"Miami Shores, FL",59%
Our Lady of the Lake University,"San Antonio, TX",59%
Our Lady of the Lake University,"San Antonio, TX",59%
Saint Leo University,"Saint Leo, FL",58%
Texas A&M University--Corpus Christi,"Corpus Christi, TX",58%
Texas Southern University,"Houston, TX",58%
Brenau University,"Gainesville, GA",55%
Brenau University,"Gainesville, GA",55%
Wilmington University,"New Castle, DE",55%
St. Thomas University,"Miami Gardens, FL",53%
Colorado Technical University,"Colorado Springs, CO",46%
